trip_id,arrival_time,departure_time,stop_id,stop_sequence
31,16:50:00,16:50:00,8000191,22
65,13:01:00,13:03:00,8003200,9
65,13:35:00,13:36:00,8000129,10
65,13:48:00,13:50:00,8005661,11
65,14:03:00,14:04:00,8000337,12
65,14:21:00,14:22:00,8000124,13
65,14:40:00,14:42:00,8000111,14
65,15:09:00,15:20:00,8000105,15
65,15:35:00,15:37:00,8000068,16
65,15:48:00,15:50:00,8000031,17
65,15:58:00,16:00:00,8000377,18
65,16:13:00,16:15:00,8000156,19
65,16:22:00,16:23:00,8006421,20
65,16:34:00,16:37:00,8000055,21
65,16:50:00,16:50:00,8000191,22
77,13:01:00,13:03:00,8003200,9
77,13:35:00,13:36:00,8000129,10
77,13:48:00,13:50:00,8005661,11
77,14:03:00,14:04:00,8000337,12
77,14:21:00,14:22:00,8000124,13
77,14:40:00,14:42:00,8000111,14
77,15:09:00,15:20:00,8000105,15
77,15:35:00,15:37:00,8000068,16
77,15:48:00,15:50:00,8000031,17
77,15:58:00,16:00:00,8000377,18
77,16:13:00,16:15:00,8000156,19
3,15:10:00,15:10:00,8000191,0
3,15:22:00,15:23:00,8000055,1
3,15:33:00,15:34:00,8006421,2
3,15:44:00,15:46:00,8000156,3
3,15:59:00,16:00:00,8000377,4
3,16:08:00,16:09:00,8000031,5
3,16:22:00,16:24:00,8000068,6
3,16:40:00,16:49:00,8000105,7
3,16:53:00,16:55:00,8002042,8
3,17:15:00,17:17:00,8000111,9
3,17:33:00,17:34:00,8000124,10
3,17:49:00,17:50:00,8000337,11
3,18:03:00,18:05:00,8005661,12
3,18:16:00,18:17:00,8000129,13
3,18:33:00,18:34:00,8000368,14
3,18:55:00,18:57:00,8003200,15
3,19:16:00,19:18:00,8000128,16
3,19:56:00,19:59:00,8000152,17
3,20:17:00,20:18:00,8000064,18
3,20:40:00,20:42:00,8000168,19
3,20:56:00,20:58:00,8000238,20
3,21:16:00,21:18:00,8000147,21
3,21:28:00,21:32:00,8002549,22
3,21:36:00,21:38:00,8002548,23
3,21:45:00,21:45:00,8002553,24
29,15:10:00,15:10:00,8000191,0
29,15:22:00,15:23:00,8000055,1
29,15:33:00,15:34:00,8006421,2
29,15:44:00,15:46:00,8000156,3
29,15:59:00,16:00:00,8000377,4
29,16:08:00,16:09:00,8000031,5
29,16:22:00,16:24:00,8000068,6
29,16:40:00,16:49:00,8000105,7
29,16:53:00,16:55:00,8002042,8
29,17:15:00,17:17:00,8000111,9
29,17:33:00,17:34:00,8000124,10
29,17:49:00,17:50:00,8000337,11
29,18:03:00,18:05:00,8005661,12
29,18:16:00,18:17:00,8000129,13
29,18:33:00,18:34:00,8000368,14
29,18:55:00,18:57:00,8003200,15
29,19:16:00,19:18:00,8000128,16
29,19:56:00,19:59:00,8000152,17
68,15:10:00,15:10:00,8000191,0
68,15:22:00,15:23:00,8000055,1
68,15:33:00,15:34:00,8006421,2
68,15:44:00,15:46:00,8000156,3
68,15:59:00,16:00:00,8000377,4
68,16:08:00,16:09:00,8000031,5
68,16:22:00,16:24:00,8000068,6
68,16:40:00,16:49:00,8000105,7
68,16:53:00,16:55:00,8002042,8
68,17:15:00,17:17:00,8000111,9
68,17:33:00,17:34:00,8000124,10
68,17:49:00,17:50:00,8000337,11
68,18:03:00,18:05:00,8005661,12
68,18:16:00,18:17:00,8000129,13
68,18:33:00,18:34:00,8000368,14
68,18:55:00,18:57:00,8003200,15
80,15:44:00,15:46:00,8000156,3
80,15:59:00,16:00:00,8000377,4
80,16:08:00,16:09:00,8000031,5
80,16:22:00,16:24:00,8000068,6
80,16:40:00,16:49:00,8000105,7
80,16:53:00,16:55:00,8002042,8
80,17:15:00,17:17:00,8000111,9
80,17:33:00,17:34:00,8000124,10
80,17:49:00,17:50:00,8000337,11
80,18:03:00,18:05:00,8005661,12
80,18:16:00,18:17:00,8000129,13
80,18:33:00,18:34:00,8000368,14
80,18:55:00,18:57:00,8003200,15
4,17:09:00,17:09:00,8000191,0
4,17:22:00,17:23:00,8000055,1
4,17:33:00,17:34:00,8006421,2
4,17:44:00,17:46:00,8000156,3
4,17:58:00,18:00:00,8000377,4
4,18:08:00,18:09:00,8000031,5
4,18:22:00,18:24:00,8000068,6
4,18:40:00,18:48:00,8000105,7
4,18:53:00,18:54:00,8002042,8
4,19:15:00,19:17:00,8000111,9
4,19:33:00,19:34:00,8000124,10
4,19:49:00,19:51:00,8000337,11
4,20:03:00,20:05:00,8005661,12
4,20:16:00,20:17:00,8000129,13
4,20:53:00,20:55:00,8003200,14
4,21:16:00,21:18:00,8000128,15
4,21:56:00,21:59:00,8000152,16
4,22:17:00,22:18:00,8000064,17
4,22:40:00,22:42:00,8000168,18
4,22:57:00,22:59:00,8000238,19
4,23:16:00,23:18:00,8000147,20
4,23:28:00,23:32:00,8002549,21
4,23:35:00,23:37:00,8002548,22
4,23:44:00,23:44:00,8002553,23
14,17:09:00,17:09:00,8000191,0
14,17:22:00,17:23:00,8000055,1
14,17:33:00,17:34:00,8006421,2
14,17:44:00,17:46:00,8000156,3
14,17:58:00,18:00:00,8000377,4
14,18:08:00,18:09:00,8000031,5
14,18:22:00,18:24:00,8000068,6
14,18:40:00,18:48:00,8000105,7
14,18:53:00,18:54:00,8002042,8
14,19:15:00,19:17:00,8000111,9
14,19:33:00,19:34:00,8000124,10
14,19:49:00,19:51:00,8000337,11
14,20:03:00,20:05:00,8005661,12
14,20:17:00,20:18:00,8000129,13
14,20:34:00,20:35:00,8000368,14
14,20:55:00,20:57:00,8003200,15
18,17:09:00,17:09:00,8000191,0
18,17:22:00,17:23:00,8000055,1
18,17:33:00,17:34:00,8006421,2
18,17:44:00,17:46:00,8000156,3
18,17:58:00,18:00:00,8000377,4
18,18:08:00,18:09:00,8000031,5
18,18:22:00,18:24:00,8000068,6
18,18:40:00,18:48:00,8000105,7
18,18:53:00,18:54:00,8002042,8
18,19:15:00,19:17:00,8000111,9
18,19:33:00,19:34:00,8000124,10
18,19:49:00,19:51:00,8000337,11
18,20:03:00,20:05:00,8005661,12
18,20:17:00,20:18:00,8000129,13
18,20:34:00,20:35:00,8000368,14
18,20:55:00,20:57:00,8003200,15
18,21:18:00,21:20:00,8000128,16
18,21:57:00,21:57:00,8000152,17
34,17:09:00,17:09:00,8000191,0
34,17:22:00,17:23:00,8000055,1
34,17:33:00,17:34:00,8006421,2
34,17:44:00,17:46:00,8000156,3
34,17:58:00,18:00:00,8000377,4
34,18:08:00,18:09:00,8000031,5
34,18:22:00,18:24:00,8000068,6
34,18:40:00,18:48:00,8000105,7
34,18:53:00,18:54:00,8002042,8
34,19:15:00,19:17:00,8000111,9
34,19:33:00,19:34:00,8000124,10
34,19:49:00,19:51:00,8000337,11
34,20:03:00,20:05:00,8005661,12
34,20:16:00,20:17:00,8000129,13
34,20:53:00,20:55:00,8003200,14
34,21:16:00,21:18:00,8000128,15
34,21:56:00,21:59:00,8000152,16
61,17:09:00,17:09:00,8000191,0
61,17:22:00,17:23:00,8000055,1
61,17:33:00,17:34:00,8006421,2
61,17:44:00,17:46:00,8000156,3
61,17:58:00,18:00:00,8000377,4
61,18:08:00,18:09:00,8000031,5
61,18:22:00,18:24:00,8000068,6
61,18:40:00,18:48:00,8000105,7
61,18:53:00,18:54:00,8002042,8
61,19:15:00,19:17:00,8000111,9
61,19:33:00,19:34:00,8000124,10
61,19:49:00,19:51:00,8000337,11
61,20:03:00,20:05:00,8005661,12
61,20:16:00,20:17:00,8000129,13
61,20:53:00,20:55:00,8003200,14
81,17:44:00,17:46:00,8000156,3
81,17:58:00,18:00:00,8000377,4
81,18:08:00,18:09:00,8000031,5
81,18:22:00,18:24:00,8000068,6
81,18:40:00,18:48:00,8000105,7
81,18:53:00,18:54:00,8002042,8
81,19:15:00,19:17:00,8000111,9
81,19:33:00,19:34:00,8000124,10
81,19:49:00,19:51:00,8000337,11
81,20:03:00,20:05:00,8005661,12
81,20:17:00,20:18:00,8000129,13
81,20:34:00,20:35:00,8000368,14
81,20:55:00,20:57:00,8003200,15
82,17:44:00,17:46:00,8000156,3
82,17:58:00,18:00:00,8000377,4
82,18:08:00,18:09:00,8000031,5
82,18:22:00,18:24:00,8000068,6
82,18:40:00,18:48:00,8000105,7
82,18:53:00,18:54:00,8002042,8
82,19:15:00,19:17:00,8000111,9
82,19:33:00,19:34:00,8000124,10
82,19:49:00,19:51:00,8000337,11
82,20:03:00,20:05:00,8005661,12
82,20:16:00,20:17:00,8000129,13
82,20:53:00,20:55:00,8003200,14
5,19:10:00,19:10:00,8000191,0
5,19:22:00,19:23:00,8000055,1
5,19:34:00,19:35:00,8006421,2
5,19:44:00,19:46:00,8000156,3
5,19:59:00,20:00:00,8000377,4
5,20:08:00,20:09:00,8000031,5
5,20:22:00,20:24:00,8000068,6
5,20:40:00,20:51:00,8000105,7
5,21:15:00,21:17:00,8000111,8
5,21:33:00,21:34:00,8000124,9
5,21:49:00,21:50:00,8000337,10
5,22:03:00,22:05:00,8005661,11
5,22:16:00,22:17:00,8000129,12
5,22:55:00,22:58:00,8003200,13
36,19:10:00,19:10:00,8000191,0
36,19:22:00,19:23:00,8000055,1
36,19:34:00,19:35:00,8006421,2
36,19:44:00,19:46:00,8000156,3
36,19:59:00,20:00:00,8000377,4
36,20:08:00,20:09:00,8000031,5
36,20:22:00,20:24:00,8000068,6
36,20:40:00,20:51:00,8000105,7
36,21:15:00,21:17:00,8000111,8
36,21:33:00,21:34:00,8000124,9
36,21:49:00,21:50:00,8000337,10
36,22:03:00,22:05:00,8005661,11
36,22:16:00,22:17:00,8000129,12
36,22:55:00,22:58:00,8003200,13
36,23:16:00,23:18:00,8000128,14
36,24:10:00,24:10:00,8000152,15
59,19:10:00,19:10:00,8000191,0
59,19:22:00,19:23:00,8000055,1
59,19:34:00,19:35:00,8006421,2
59,19:44:00,19:46:00,8000156,3
59,20:47:00,20:52:00,8000105,4
59,21:15:00,21:17:00,8000111,5
59,21:33:00,21:34:00,8000124,6
59,21:49:00,21:50:00,8000337,7
59,22:03:00,22:05:00,8005661,8
59,22:16:00,22:17:00,8000129,9
59,22:55:00,22:58:00,8003200,10
59,23:16:00,23:18:00,8000128,11
59,24:10:00,24:10:00,8000152,12
83,19:44:00,19:46:00,8000156,3
83,19:59:00,20:00:00,8000377,4
83,20:08:00,20:09:00,8000031,5
83,20:22:00,20:24:00,8000068,6
83,20:40:00,20:51:00,8000105,7
83,21:15:00,21:17:00,8000111,8
83,21:33:00,21:34:00,8000124,9
83,21:49:00,21:50:00,8000337,10
