route_id,route_short_name,route_long_name,route_type,agency_id
715,,ICE 1000,2,DB
716,,ICE 1008,2,DB
717,,ICE 1553,2,DB
718,,ICE 1006,2,DB
719,,ICE 1876,2,DB
741,,ICE 1537,2,DB
746,,ICE 1593,2,DB
747,,ICE 774,2,DB
752,,ICE 676,2,DB
756,,ICE 1595,2,DB
760,,ICE 778,2,DB
761,,ICE 710,2,DB
765,,ICE 1724,2,DB
766,,ICE 1584,2,DB
767,,ICE 1630,2,DB
768,,ICE 832,2,DB
769,,ICE 732,2,DB
770,,ICE 841,2,DB
772,,ICE 1032,2,DB
773,,ICE 830,2,DB
782,,ICE 697,2,DB
783,,ICE 907,2,DB
784,,ICE 905,2,DB
785,,ICE 898,2,DB
786,,ICE 809,2,DB
791,,ICE 2598,2,DB
792,,ICE 1590,2,DB
793,,ICE 1592,2,DB
794,,ICE 1698,2,DB
795,,ICE 1193,2,DB
796,,ICE 1196,2,DB
797,,ICE 1695,2,DB
798,,ICE 1694,2,DB
799,,ICE 1197,2,DB
800,,ICE 1692,2,DB
804,,ICE 1691,2,DB
805,,ICE 1697,2,DB
806,,ICE 2589,2,DB
807,,ICE 2583,2,DB
808,,ICE 2590,2,DB
810,,ICE 2593,2,DB
812,,ICE 2594,2,DB
813,,ICE 2581,2,DB
814,,ICE 2582,2,DB
815,,ICE 1622,2,DB
816,,ICE 1022,2,DB
821,,ICE 1227,2,ÖBB
822,,ICE 1079,2,DB
823,,ICE 1091,2,DB
824,,ICE 752,2,DB
825,,ICE 392,2,DB
826,,ICE 394,2,DB
827,,ICE 671,2,DB
828,,ICE 972,2,DB
829,,ICE 1278,2,DB
830,,ICE 291,2,SBB
831,,ICE 1660,2,DB
832,,ICE 1635,2,DB
833,,ICE 293,2,DB
835,,ICE 1276,2,DB
836,,ICE 1293,2,SBB
837,,ICE 1274,2,DB
838,,ICE 1275,2,SBB
839,,ICE 1272,2,DB
840,,ICE 1277,2,SBB
841,,ICE 297,2,DB
